"word" "freq"
"type" "type" 17
"weird" "weird" 17
"weve" "weve" 17
"yup" "yup" 17
"buying" "buying" 16
"club" "club" 16
"coffeelovers" "coffeelovers" 16
"craving" "craving" 16
"diet" "diet" 16
"drive" "drive" 16
"entire" "entire" 16
"family" "family" 16
"fat" "fat" 16
"felt" "felt" 16
"helping" "helping" 16
"heres" "heres" 16
"holding" "holding" 16
"honestly" "honestly" 16
"important" "important" 16
"instagram" "instagram" 16
"living" "living" 16
"london" "london" 16
"lost" "lost" 16
"motivation" "motivation" 16
"offer" "offer" 16
"pie" "pie" 16
"questions" "questions" 16
"roaster" "roaster" 16
"saturday" "saturday" 16
"smile" "smile" 16
"third" "third" 16
"throw" "throw" 16
"tortilla" "tortilla" 16
"turn" "turn" 16
"turned" "turned" 16
"usa" "usa" 16
"vanilla" "vanilla" 16
"across" "across" 15
"alcohol" "alcohol" 15
"area" "area" 15
"birthday" "birthday" 15
"brand" "brand" 15
"cheese" "cheese" 15
"chill" "chill" 15
"close" "close" 15
"corner" "corner" 15
"costa" "costa" 15
"customers" "customers" 15
"death" "death" 15
"dropped" "dropped" 15
"episode" "episode" 15
"eye" "eye" 15
"fix" "fix" 15
"gives" "gives" 15
"gym" "gym" 15
"hall" "hall" 15
"happen" "happen" 15
"imagine" "imagine" 15
"kinda" "kinda" 15
"lake" "lake" 15
"list" "list" 15
"media" "media" 15
"met" "met" 15
"middle" "middle" 15
"month" "month" 15
"often" "often" 15
"que" "que" 15
"save" "save" 15
"scene" "scene" 15
"seriously" "seriously" 15
"simple" "simple" 15
"social" "social" 15
"soul" "soul" 15
"stopped" "stopped" 15
"straight" "straight" 15
"treat" "treat" 15
"weekend" "weekend" 15
"whatever" "whatever" 15
"words" "words" 15
"workout" "workout" 15
"addicted" "addicted" 14
"ago" "ago" 14
"answer" "answer" 14
"anymore" "anymore" 14
"bathroom" "bathroom" 14
"blood" "blood" 14
"boss" "boss" 14
"breaks" "breaks" 14
"build" "build" 14
"caffeinated" "caffeinated" 14
"cocoa" "cocoa" 14
"code" "code" 14
"coffeeaddict" "coffeeaddict" 14
"comes" "comes" 14
"deal" "deal" 14
"decided" "decided" 14
"deserve" "deserve" 14
"donatetofor" "donatetofor" 14
"driving" "driving" 14
"eggs" "eggs" 14
"especially" "especially" 14
"etc" "etc" 14
"event" "event" 14
"exactly" "exactly" 14
"eyes" "eyes" 14
"fancy" "fancy" 14
"friendly" "friendly" 14
"games" "games" 14
"hair" "hair" 14
"hold" "hold" 14
"human" "human" 14
"knew" "knew" 14
"level" "level" 14
"nationalirishcoffeeday" "nationalirishcoffeeday" 14
"oil" "oil" 14
"onat" "onat" 14
"ordering" "ordering" 14
"pizza" "pizza" 14
"public" "public" 14
"putting" "putting" 14
"realized" "realized" 14
"regular" "regular" 14
"serving" "serving" 14
"sips" "sips" 14
"song" "song" 14
"sunday" "sunday" 14
"survive" "survive" 14
"system" "system" 14
"towards" "towards" 14
"wifi" "wifi" 14
"wonder" "wonder" 14
"aint" "aint" 13
"announced" "announced" 13
"asap" "asap" 13
"bagel" "bagel" 13
"bitcoin" "bitcoin" 13
"blog" "blog" 13
"box" "box" 13
"boys" "boys" 13
"bringing" "bringing" 13
"broken" "broken" 13
"butter" "butter" 13
"campus" "campus" 13
"cat" "cat" 13
"clean" "clean" 13
"coconut" "coconut" 13
"coffeetea" "coffeetea" 13
"dying" "dying" 13
"earlier" "earlier" 13
"edition" "edition" 13
"email" "email" 13
"ended" "ended" 13
"fact" "fact" 13
"five" "five" 13
"hahaha" "hahaha" 13
"health" "health" 13
"holy" "holy" 13
"hows" "hows" 13
"information" "information" 13
"java" "java" 13
"link" "link" 13
"longer" "longer" 13
"lose" "lose" 13
"missed" "missed" 13
"mother" "mother" 13
"move" "move" 13
"note" "note" 13
"ones" "ones" 13
"parents" "parents" 13
"past" "past" 13
"per" "per" 13
"picture" "picture" 13
"pop" "pop" 13
"possible" "possible" 13
"quality" "quality" 13
"recommend" "recommend" 13
"roasted" "roasted" 13
"roasters" "roasters" 13
"roasting" "roasting" 13
"safe" "safe" 13
"seems" "seems" 13
"sell" "sell" 13
"short" "short" 13
"shower" "shower" 13
"shows" "shows" 13
"spilt" "spilt" 13
"storage" "storage" 13
"tables" "tables" 13
"turns" "turns" 13
"update" "update" 13
"usual" "usual" 13
"via" "via" 13
"walked" "walked" 13
"waste" "waste" 13
"watched" "watched" 13
"wearing" "wearing" 13
"whether" "whether" 13
"whos" "whos" 13
"women" "women" 13
"wtf" "wtf" 13
"accidentally" "accidentally" 12
"addiction" "addiction" 12
"adult" "adult" 12
"behind" "behind" 12
"blonde" "blonde" 12
"broke" "broke" 12
"bunch" "bunch" 12
"cigarettes" "cigarettes" 12
"classes" "classes" 12
"cost" "cost" 12
"cover" "cover" 12
"coworker" "coworker" 12
"dad" "dad" 12
"deep" "deep" 12
"discussion" "discussion" 12
"drunk" "drunk" 12
"fair" "fair" 12
"film" "film" 12
"filters" "filters" 12
"four" "four" 12
"freshly" "freshly" 12
"fruit" "fruit" 12
"function" "function" 12
"held" "held" 12
"hortons" "hortons" 12
"including" "including" 12
"intake" "intake" 12
"keto" "keto" 12
"leaving" "leaving" 12
"lemon" "lemon" 12
"light" "light" 12
"loved" "loved" 12
"magic" "magic" 12
"marketing" "marketing" 12
"months" "months" 12
"mouth" "mouth" 12
"national" "national" 12
"nearly" "nearly" 12
"noon" "noon" 12
"notes" "notes" 12
"pods" "pods" 12
"poor" "poor" 12
"purchase" "purchase" 12
"quick" "quick" 12
"quite" "quite" 12
"road" "road" 12
"schedule" "schedule" 12
"sense" "sense" 12
"serve" "serve" 12
"shouldnt" "shouldnt" 12
"special" "special" 12
"specialty" "specialty" 12
"style" "style" 12
"supposed" "supposed" 12
"tasting" "tasting" 12
"tech" "tech" 12
"terrible" "terrible" 12
"test" "test" 12
"tho" "tho" 12
"tim" "tim" 12
"trade" "trade" 12
"tuesdaymotivation" "tuesdaymotivation" 12
"ugh" "ugh" 12
"wawa" "wawa" 12
"whiskey" "whiskey" 12
"winner" "winner" 12
"yoga" "yoga" 12
"yummy" "yummy" 12
"alone" "alone" 11
"american" "american" 11
"anyway" "anyway" 11
"anywhere" "anywhere" 11
"appreciate" "appreciate" 11
"ate" "ate" 11
"awful" "awful" 11
"bags" "bags" 11
"brief" "brief" 11
"bull" "bull" 11
"calm" "calm" 11
"catch" "catch" 11
"cats" "cats" 11
"changed" "changed" 11
"cooking" "cooking" 11
"counter" "counter" 11
"customer" "customer" 11
"cuz" "cuz" 11
"dear" "dear" 11
"decent" "decent" 11
"decide" "decide" 11
"des" "des" 11
"diy" "diy" 11
"drop" "drop" 11
"entered" "entered" 11
"everywhere" "everywhere" 11
"fadofeel" "fadofeel" 11
"farmers" "farmers" 11
"fill" "fill" 11
"flavored" "flavored" 11
"follow" "follow" 11
"forever" "forever" 11
"fuckin" "fuckin" 11
"handle" "handle" 11
"happened" "happened" 11
"happening" "happening" 11
"hazelnut" "hazelnut" 11
"heavy" "heavy" 11
"honey" "honey" 11
"hurt" "hurt" 11
"ilovecoffee" "ilovecoffee" 11
"inside" "inside" 11
"janfado" "janfado" 11
"juice" "juice" 11
"kick" "kick" 11
"kill" "kill" 11
"los" "los" 11
"manager" "manager" 11
"market" "market" 11
"meal" "meal" 11
"mix" "mix" 11
"modern" "modern" 11
"movie" "movie" 11
"opportunity" "opportunity" 11
"original" "original" 11
"page" "page" 11
"paper" "paper" 11
"para" "para" 11
"pic" "pic" 11
"places" "places" 11
"pouring" "pouring" 11
"ppl" "ppl" 11
