"word" "freq"
"tea" 20
"alone" 19
"ask" 19
"available" 19
"band" 19
"blasts" 19
"bought" 19
"british" 19
"brown" 19
"carey" 19
"center" 19
"challenge" 19
"comments" 19
"community" 19
"cuz" 19
"devil" 19
"feud" 19
"flo" 19
"giving" 19
"hillary" 19
"judges" 19
"lie" 19
"lil" 19
"loved" 19
"means" 19
"men" 19
"month" 19
"move" 19
"newskaty" 19
"niall" 19
"perfection" 19
"presented" 19
"question" 19
"respect" 19
"serious" 19
"seriously" 19
"shaking" 19
"sur" 19
"taking" 19
"talent" 19
"tried" 19
"truth" 19
"von" 19
"won" 19
"workgossip" 19
"americanidol" 18
"australia" 18
"avril" 18
"body" 18
"brought" 18
"bryan" 18
"candid" 18
"clarifies" 18
"couldnt" 18
"course" 18
"deserves" 18
"dinner" 18
"everyday" 18
"felt" 18
"goddess" 18
"hasnt" 18
"heykaty" 18
"hydroglasgowjun" 18
"icons" 18
"join" 18
"labelbbc" 18
"mediafox" 18
"mendes" 18
"michael" 18
"mini" 18
"missy" 18
"olivia" 18
"path" 18
"perrykatyperry" 18
"piano" 18
"plays" 18
"promises" 18
"public" 18
"queers" 18
"reached" 18
"roulette" 18
"saturday" 18
"seems" 18
"share" 18
"showing" 18
"situation" 18
"skinny" 18
"smh" 18
"soon" 18
"sse" 18
"stardom" 18
"ugly" 18
"weve" 18
"whether" 18
"account" 17
"age" 17
"aka" 17
"appeal" 17
"brit" 17
"callboycalifornia" 17
"candy" 17
"capitol" 17
"charts" 17
"combs" 17
"constantly" 17
"cultural" 17
"diamond" 17
"dot" 17
"eskimo" 17
"explicit" 17
"feeling" 17
"gave" 17
"gretchen" 17
"hasand" 17
"intensity" 17
"kardashian" 17
"kylie" 17
"lopezs" 17
"male" 17
"meat" 17
"minute" 17
"originals" 17
"past" 17
"poor" 17
"porno" 17
"road" 17
"ruin" 17
"shake" 17
"shoes" 17
"south" 17
"spotlight" 17
"starring" 17
"stupid" 17
"surprised" 17
"swishkaty" 17
"telling" 17
"thread" 17
"touching" 17
"turned" 17
"wig" 17
"applegoogle" 16
"apps" 16
"attacki" 16
"barbwires" 16
"bob" 16
"boots" 16
"cancelled" 16
"cannibalism" 16
"cherry" 16
"choice" 16
"completely" 16
"confidence" 16
"confused" 16
"crying" 16
"deejay" 16
"deray" 16
"diet" 16
"dokaty" 16
"dreams" 16
"drop" 16
"gagakaty" 16
"glendale" 16
"goodnight" 16
"gorgeous" 16
"grew" 16
"gym" 16
"halsey" 16
"honored" 16
"hopes" 16
"italian" 16
"jam" 16
"joke" 16
"katycats" 16
"knife" 16
"lastfireworks" 16
"liking" 16
"mehot" 16
"mixkaty" 16
"musical" 16
"nobody" 16
"nowplayingonhott" 16
"number" 16
"olympics" 16
"onair" 16
"onfireworks" 16
"orlandobloom" 16
"others" 16
"painful" 16
"pays" 16
"peacock" 16
"perrybigger" 16
"perryexcessuk" 16
"photog" 16
"pnk" 16
"proud" 16
"revengefireworks" 16
"ruinhot" 16
"rumorswhat" 16
"sharks" 16
"soul" 16
"speechpolkadot" 16
"stand" 16
"starstudded" 16
"supported" 16
"tbh" 16
"three" 16
"todays" 16
"track" 16
"trouble" 16
"visual" 16
"vocals" 16
"worried" 16
"according" 15
"annoying" 15
"appropriation" 15
"basically" 15
"bed" 15
"bestsolobreakout" 15
"bringing" 15
"character" 15
"com" 15
"confection" 15
"content" 15
"cure" 15
"dancers" 15
"das" 15
"daughter" 15
"direction" 15
"dolls" 15
"dresses" 15
"everybody" 15
"facebook" 15
"family" 15
"feet" 15
"fighter" 15
"flopped" 15
"freaking" 15
"fucked" 15
"gown" 15
"haha" 15
"hands" 15
"hiphop" 15
"horan" 15
"horrible" 15
"hotand" 15
"ich" 15
"include" 15
"injured" 15
"inner" 15
"issues" 15
"legs" 15
"light" 15
"lionel" 15
"mag" 15
"mayer" 15
"minecraft" 15
"moms" 15
"needed" 15
"onstage" 15
"performancedallas" 15
"perryroulette" 15
"perrywaking" 15
"pharrel" 15
"planning" 15
"politics" 15
"pussycat" 15
"remind" 15
"remixkaty" 15
"responded" 15
"response" 15
"ringo" 15
"sang" 15
"scenes" 15
"self" 15
"shoots" 15
"sitting" 15
"society" 15
"swear" 15
"swifts" 15
"table" 15
"talked" 15
"thigh" 15
"turns" 15
"type" 15
"vida" 15
"viva" 15
"welt" 15
"worked" 15
"worse" 15
"xxx" 15
"youll" 15
"zayn" 15
"alairecalvin" 14
"alive" 14
"apparently" 14
"audience" 14
"awakekaty" 14
"background" 14
"backpack" 14
"bio" 14
"blood" 14
"bold" 14
"bot" 14
"box" 14
"broke" 14
"btw" 14
"byon" 14
"celebrities" 14
"chelsea" 14
"choose" 14
"close" 14
"comment" 14
"costumes" 14
"country" 14
"dressthigh" 14
"dumb" 14
"dying" 14
"elizabeth" 14
"emily" 14
"ending" 14
"enduring" 14
"experience" 14
"five" 14
"flawless" 14
"forward" 14
"fragrance" 14
"frill" 14
"gold" 14
"greatest" 14
"holiday" 14
"hopefully" 14
"horsekaty" 14
"image" 14
"inside" 14
"interesting" 14
"international" 14
"jessie" 14
"karaoke" 14
"kissing" 14
"laser" 14
"later" 14
"leggy" 14
"longest" 14
"losing" 14
"married" 14
"names" 14
"nbc" 14
"neverending" 14
"observer" 14
"onlinedaily" 14
"overcomes" 14
"paid" 14
"paypapermag" 14
"perryjotafm" 14
"perrytaylor" 14
"pitbull" 14
"radiogarach" 14
"reachon" 14
"reproduciendo" 14
"river" 14
"rnb" 14
"send" 14
"shook" 14
"sunday" 14
"supports" 14
"teacher" 14
"truly" 14
"tsunami" 14
"uncomfortable" 14
"vibe" 14
"vine" 14
"visuals" 14
"winningkaty" 14
"wore" 14
"admit" 13
"anal" 13
"auditions" 13
"bar" 13
"bei" 13
"billboardsimultaneously" 13
"blunt" 13
"boyestelle" 13
"breaks" 13
"bro" 13
"bunch" 13
"burnin" 13
"cards" 13
"case" 13
"channeled" 13
"child" 13
"closed" 13
"convinced" 13
"crafted" 13
"designers" 13
"dick" 13
"discography" 13
"doors" 13
"drama" 13
"eating" 13
"facelady" 13
"facial" 13
"fair" 13
"fameand" 13
"foil" 13
"footage" 13
"games" 13
"google" 13
"grade" 13
"happen" 13
"health" 13
"hold" 13
"homage" 13
"hometown" 13
"incident" 13
"jetzt" 13
"joins" 13
"kill" 13
"laugh" 13
"main" 13
"mckesson" 13
"meryl" 13
"metallic" 13
"migosbon" 13
"minajmp" 13
"mother" 13
"munn" 13
"nfl" 13
"nickelback" 13
"officially" 13
"onda" 13
"para" 13
"park" 13
"perfume" 13
"pit" 13
"ppl" 13
"problems" 13
"queer" 13
"ramsey" 13
"recently" 13
"regrets" 13
"retweeted" 13
"riding" 13
"scalping" 13
"scene" 13
"season" 13
"selenagomes" 13
"sell" 13
"shades" 13
"shazam" 13
"silence" 13
"socialmedia" 13
"sparkling" 13
"starting" 13
"station" 13
"stories" 13
"storytaylor" 13
"streep" 13
"success" 13
"sun" 13
"tells" 13
"terrible" 13
"test" 13
"texas" 13
"theme" 13
"trends" 13
"turning" 13
"tweets" 13
"ungry" 13
"unknown" 13
"upthe" 13
"website" 13
"word" 13
"xcel" 13
"york" 13
"younger" 13
"allinone" 12
"anthem" 12
"apologizes" 12
"appetite" 12
"autumncollection" 12
"bros" 12
"brothers" 12
"calling" 12
"carpet" 12
"classic" 12
"clearly" 12
"collaborating" 12
"common" 12
"company" 12
"conspiracy" 12
"copyright" 12
"dancer" 12
"debitcredit" 12
"degeneres" 12
"dropped" 12
"drops" 12
"duringdaily" 12
"early" 12
"eat" 12
"embarrassing" 12
"ended" 12
"engagement" 12
"example" 12
"fear" 12
"feature" 12
"feelsuperfm" 12
"formerly" 12
"gives" 12
"growing" 12
"hall" 12
"happynewyear" 12
"hasntundergone" 12
"hello" 12
"helped" 12
"honest" 12
"honoured" 12
"iger" 12
"king" 12
"knitted" 12
"ladiesbeyonc" 12
"latino" 12
"lavigne" 12
"lgbt" 12
"lives" 12
"lucky" 12
"melody" 12
"monday" 12
"msica" 12
"mtv" 12
"nuked" 12
"obama" 12
"onlineradioevernowplaying" 12
"performers" 12
"perryheidi" 12
"playlists" 12
"president" 12
"promote" 12
"putting" 12
"que" 12
"random" 12
"realize" 12
"refuse" 12
"retweet" 12
"rita" 12
"shares" 12
"shower" 12
"sonando" 12
"spend" 12
"stuck" 12
"superbowl" 12
"supporting" 12
"teen" 12
"thatll" 12
"throwback" 12
"throwing" 12
"treatment" 12
"turnyears" 12
"ugh" 12
"underrated" 12
"unseen" 12
"update" 12
"upjonas" 12
"wake" 12
"wendy" 12
"werent" 12
"wheres" 12
"womanizerbritney" 12
"womens" 12
"worldwide" 12
"able" 11
"accepting" 11
"across" 11
"acts" 11
"add" 11
"appropriating" 11
"armourinspired" 11
"article" 11
"atthe" 11
"birmingham" 11
"bisexual" 11
"blasting" 11
"bless" 11
"blessed" 11
"blue" 11
"book" 11
"brian" 11
"brings" 11
"brother" 11
"buysell" 11
"cannibal" 11
"cash" 11
"coffee" 11
"comedian" 11
"created" 11
"dangerous" 11
"dazzles" 11
"deal" 11
"decided" 11
"dedication" 11
"dog" 11
"drive" 11
"drunk" 11
"easily" 11
"elite" 11
"exclusive" 11
"exposed" 11
"fakes" 11
"fat" 11
"featured" 11
"feminismtheblaze" 11
"fnffm" 11
"fnicki" 11
"foryears" 11
"fringing" 11
"genius" 11
"glad" 11
"goldencenter" 11
"guisboroughs" 11
"gurlsstudiolife" 11
"hahaha" 11
"heels" 11
"hudsonmore" 11
"insingle" 11
"internet" 11
"justice" 11
"kelly" 11
"kpop" 11
"leagues" 11
"legends" 11
"legit" 11
"looked" 11
"lots" 11
"manchester" 11
"mary" 11
"minnies" 11
"mnmnoa" 11
"moments" 11
"months" 11
"musickids" 11
"newssocialmedia" 11
"older" 11
"perryfireworktune" 11
"perryminnie" 11
"perrytsunami" 11
"phillipines" 11
"political" 11
"pose" 11
"price" 11
"questioned" 11
"racist" 11
"raff" 11
"rarely" 11
"react" 11
"reading" 11
"recent" 11
"recording" 11
"related" 11
"riff" 11
"ripping" 11
"rockthedots" 11
"ruby" 11
"sashays" 11
"seats" 11
"sexual" 11
"shitty" 11
"shockingsaturn" 11
"shut" 11
"simple" 11
"sir" 11
"sis" 11
"snaps" 11
"somebody" 11
"soundtrack" 11
"speculation" 11
"starred" 11
"streaming" 11
"stun" 11
"successful" 11
"swiftkaty" 11
"swishswish" 11
"sza" 11
"tagged" 11
"taken" 11
"teens" 11
"theyve" 11
"tix" 11
"town" 11
"trailer" 11
"tuesday" 11
"tvnow" 11
"tweeted" 11
"uncensored" 11
"wanting" 11
"wear" 11
"wed" 11
"wind" 11
"wser" 11
"yassss" 11
"absolutely" 10
"afford" 10
"audition" 10
"avideomeet" 10
"balance" 10
"bebe" 10
"became" 10
"bestmusicvideo" 10
"bet" 10
"bigger" 10
"blinked" 10
"blonde" 10
"boon" 10
"born" 10
"boyfriend" 10
"burst" 10
"business" 10
"changes" 10
"chat" 10
"china" 10
"cleavage" 10
"collaboration" 10
"colourful" 10
"commercial" 10
"crush" 10
"deserve" 10
"deserved" 10
"dilla" 10
"dines" 10
"dollars" 10
"dom" 10
"door" 10
"double" 10
"doubt" 10
"download" 10
"dvd" 10
"easy" 10
"emma" 10
"energybeatchile" 10
"enlove" 10
"ensemble" 10
"especially" 10
"ethan" 10
"exitos" 10
"fantastic" 10
"fault" 10
"fave" 10
"features" 10
"feminist" 10
"followed" 10
"follows" 10
"fuckin" 10
"gagas" 10
"garbage" 10
"genres" 10
"gifs" 10
"given" 10
"grateful" 10
"groups" 10
"gscc" 10
"gurlskaty" 10
"haircut" 10
"halloweencostumes" 10
"happens" 10
"havoc" 10
"hawaii" 10
"heartbeat" 10
"hood" 10
"however" 10
"hurricane" 10
"identity" 10
"including" 10
"incredible" 10
"janet" 10
"jdilla" 10
"jenner" 10
"july" 10
"key" 10
"lateness" 10
"launched" 10
"lawrence" 10
"leaving" 10
"level" 10
"liam" 10
"lmfao" 10
"lopez" 10
"low" 10
"lying" 10
"madeo" 10
"magazinkaty" 10
"marry" 10
"melodrama" 10
"melt" 10
"members" 10
"morejustjared" 10
"mouth" 10
"named" 10
"national" 10
"nervously" 10
"nugget" 10
"offended" 10
"parents" 10
"performances" 10
"performer" 10
"perryfireworkfunkykidsradio" 10
"radiopro" 10
"reach" 10
"reacts" 10
"realized" 10
"refreshing" 10
"relate" 10
"replacedkaty" 10
"rosie" 10
"rude" 10
"running" 10
"rythm" 10
"sale" 10
"shakira" 10
"shocked" 10
"sick" 10
"sincelady" 10
"soundcloud" 10
"stopped" 10
"stream" 10
"sucks" 10
"sync" 10
